Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.940000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.42
48.950000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.03
48.830000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.99
48.830000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.09
48.850000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,4.91
48.920000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,12.19
48.940000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.93
48.900000,-125.070000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.86
48.860000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,3.73
48.950000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,53.53
48.890000,-125.070000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,4.97
48.940000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,21.72
48.910000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.61
48.930000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.26
48.950000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.30
48.870000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,17.61
48.870000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.69
48.950000,-125.070000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,7.24
48.940000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,9.07
48.880000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.12
48.860000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.48
48.970000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.68
48.950000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.94
48.900000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.51
48.890000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.55
48.920000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.59
48.860000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.60
48.970000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.55
48.910000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.80
48.970000,-125.360000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.67
48.980000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.69
48.830000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.38
48.970000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.02
48.860000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.96
48.900000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.63
48.940000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.03
48.890000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,3.14
48.860000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.54
48.910000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,3.55
48.860000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.73
48.940000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,5.36
48.850000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.97
48.870000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.23
48.850000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,4.59
48.980000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,18.94
48.870000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,24.10
48.950000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,4.45
48.950000,-125.010000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.33
48.900000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,14.47
48.870000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,3.06
48.880000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,1.72
48.900000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.27
48.960000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,8.40
48.830000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,5.54
48.930000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.44
48.930000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.98
48.890000,-125.060000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.24
48.920000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,4.96
48.850000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.01
48.900000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.03
48.990000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.55
48.900000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.24
48.880000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,4.05
48.850000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,8.27
48.900000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.84
48.970000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.58
48.830000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.36
48.920000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,7.94
48.950000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.56
48.830000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,6.83
48.900000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.46
48.940000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,8.21
48.890000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,48.64
48.830000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,32.10
48.880000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.04
48.910000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",6,47.12
48.960000,-125.380000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.47
48.930000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,4.73
48.970000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.27
48.860000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.74
