Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.950000,-125.200000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.64
48.890000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.26
48.910000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.08
48.860000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.87
48.840000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.35
48.890000,-125.450000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.97
48.830000,-125.170000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.48
48.940000,-125.210000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,24.20
48.980000,-125.350000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.03
48.840000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.69
48.920000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.52
48.920000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",5,33.35
48.970000,-125.180000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.37
48.800000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.39
48.830000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.94
48.930000,-125.460000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.01
48.980000,-125.370000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.02
48.990000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,4.14
48.930000,-125.450000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.79
48.920000,-125.360000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.58
48.930000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.33
48.890000,-125.520000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.17
48.940000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,9.80
48.860000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.52
48.940000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.23
48.850000,-125.200000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,17.08
48.960000,-125.070000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.36
48.870000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.99
48.880000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.25
48.940000,-125.340000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.01
48.950000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.55
48.920000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,5.62
48.840000,-125.150000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.13
48.900000,-125.120000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.45
48.880000,-125.100000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.01
48.870000,-125.120000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.45
48.970000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.09
48.890000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.82
48.950000,-125.270000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.66
