Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.960000,-125.410000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.98
48.920000,-125.450000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,0.58
48.910000,-125.490000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.52
48.870000,-125.110000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,28.78
48.860000,-125.120000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,4.57
48.960000,-125.090000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.11
48.900000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.98
48.910000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.02
48.880000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.15
48.840000,-125.170000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,14.19
48.800000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,4.51
48.810000,-125.290000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,0.83
48.810000,-125.390000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.72
48.830000,-125.370000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.11
48.980000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.21
48.850000,-125.170000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.00
48.830000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.85
48.870000,-125.490000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.36
48.860000,-125.200000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.48
48.900000,-125.490000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.42
48.830000,-125.260000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.95
48.870000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,7.01
48.820000,-125.140000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.59
