Transect,Photo#,photo score,transect score,#urchins,#snails,primary_sub,secondary_sub,,"Notes (% cover for each, other important things to know etc.)",,Total snails,Real total snails,,Total snails,real total snails
BMSC6_TB9m22042024BaeriaRocksSouth,5,4,"4, 3",6,1,7,7,,"100% solid rock, --- low to ok vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,6,4,"4, 3",3,0,7,7,,100% solid rock --- low vis,,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,7,4,"4, 3",3,1,7,2,,"95% solid rock with a small pocket of sand,  ---low vis in front and poor vis in the background",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,8,4,"4, 3",3,3,7,2,,"98% solid rock with a small pocket of sand, --- llow vis to poor vis in background",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,9,4,"4, 3",4,2,7,2,,"98% solid rock with one small pocket of sand, one urchin visible only by spines, one black urchin, --- poor to low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,10,3,"4, 3",7,3,6,3,,"85% boulders with shell hash mixed in throughout, --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,11,4,"4, 3",5,3,6,3,,"90% boulders with shell hash mixed in, one black urchin, one green urchin (other species), --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,12,3,"4, 3",3,0,6,3,,"85% boulders with shell hash mixed in , one urchin visible only by spines, --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,13,3,"4, 3",7,0,6,3,,"60% boulders and 40% shell hash, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,14,4,"4, 3",4,2,6,2,,"98% boulders with a small pocket of sand, one urchin visible only by spines, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,15,4,"4, 3",3,0,6,3,,"80% boulders with 20% sand, --- poor vis",,,,,,
