site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,35,2,966.613,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,40,1,619.0955,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,15,1,73.4918,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,25,3,751.2358,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,30,1,369.1905,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia bachei,Pleurobrachia bachei,0,1,,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,2,134.1157,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,2,464.3122,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,1,344.0053,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,35,1,483.3065,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,40,1,619.0955,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos stelleri,Hexagrammos stelleri,12.5,1,36.0121,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,30,1,164.6513,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,12.5,2,83.8284,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,15,2,146.9837,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,2,325.4514,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,4,928.6245,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,3,1032.016,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,35,1,483.3065,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,40,1,619.0955,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,50,1,599.5206,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,1,162.7257,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,25,6,1502.4717,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,30,3,1107.5715,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2023-05-10,6.5,RLS,3,12:35:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,35,1,516.4341,POINT (-125.20999908447266 48.84000015258789)
