Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
48.970000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,2.01
48.960000,-125.380000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.46
48.970000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.32
48.860000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,2.25
48.900000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.84
48.860000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.74
48.860000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.60
48.920000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.11
48.850000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,3,7.58
48.870000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.69
48.870000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.13
48.930000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,2.98
48.850000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.88
48.920000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.68
48.920000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.13
48.940000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.66
48.940000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,3.73
48.890000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,2,5.04
48.840000,-125.380000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.00
48.940000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.47
48.950000,-125.010000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.33
48.970000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.02
48.880000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,4.05
48.880000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,2.02
48.840000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,1.79
48.970000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.51
48.890000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,27.22
48.930000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.89
48.920000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,2,5.67
48.880000,-125.280000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.61
48.850000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.01
48.940000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.74
48.990000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,0.27
48.890000,-125.370000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.37
48.860000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.06
48.920000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,2.15
48.920000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.07
48.890000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,29.57
48.950000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,2.44
48.850000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.80
48.970000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.55
48.900000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.82
48.880000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,3.93
48.890000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.81
48.870000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,17.61
48.850000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,16.73
48.870000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.99
48.840000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.54
48.920000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.87
48.840000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,3,4.85
48.920000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,4.60
48.870000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,2.77
48.870000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,2.93
48.920000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.57
48.810000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,6.05
48.880000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.98
48.930000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,7.27
48.930000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.74
48.900000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,2.03
48.970000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.86
48.910000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.95
48.890000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,3.83
48.870000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.03
48.920000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.86
48.870000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,21.66
48.890000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.11
48.910000,-125.490000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.17
48.930000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.38
48.840000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.03
48.950000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,4.31
48.950000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,2,14.78
48.840000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,2.05
48.940000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.42
48.950000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.09
48.930000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,6.08
48.920000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,2.06
48.950000,-124.990000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,2.17
48.860000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.31
48.850000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.91
48.950000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,16.41
48.950000,-125.080000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.95
48.890000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.39
48.840000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.60
48.970000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.58
48.960000,-125.080000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,0.38
48.830000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.99
